dependency_name,fan_in
pyobjc-framework-imserviceplugin,1
pyobjc-framework-screensaver,1
wtforms-components,1
pyobjc-framework-accounts,1
pynsca,1
winotify,1
pynng,1
winsdk,1
winshell,1
wolframalpha,1
wsgi-request-logger,1
wsproto,1
wxpython,1
pyobjc-framework-contacts,1
x-clip,1
pymupdf4llm,1
pymupdf-fonts,1
x2paddle,1
pymsteams,1
pymssql,1
xdg-base-dirs,1
pympler,1
xinference-client,1
pyobjc-framework-addressbook,1
win-inet-pton,1
wikipedia-api,1
wifi,1
wecom-aibot-python-sdk,1
pyobjc-framework-colorsync,1
pyobjc-framework-collaboration,1
whichcraft,1
pyobjc-framework-cloudkit,1
pyobjc-framework-cfnetwork,1
whisper-timestamped,1
whisperx,1
pyobjc-framework-calendarstore,1
pyobjc-framework-businesschat,1
pyobjc-framework-avkit,1
whitebox,1
pyobjc-framework-avfoundation,1
whiteboxgui,1
pyobjc-framework-automator,1
pyobjc-framework-applescriptobjc,1
pyobjc-framework-applescriptkit,1
whoosh,1
pyobjc-framework-adsupport,1
xlwt,1
pymisp,1
xmlrunner,1
youtokentome,1
ypy-websocket,1
pyjwkest,1
pyjokes,1
pyinstaller-hooks-contrib,1
ytmusicapi,1
pyhttpsig,1
pyhive,1
pyhdfs,1
zarr,1
pyhcl,1
pygtrie,1
zeroconf,1
pygltflib,1
zhconv,1
pyglet,1
zhipuai,1
zibai-server,1
zmq,1
zss,1
pykaos,1
yiri-mirai,1
pymeshlab,1
yellowbrick,1
xmltojson,1
xmod,1
pymeshfix,1
xsdata,1
pymemcache,1
xvfbwrapper,1
pymediainfo,1
xyzservices,1
y-py,1
yacron,1
pymagnitude-lite,1
yaffshiv,1
yahp,1
pylnk3,1
yapsy,1
pyldavis,1
yarg,1
yaspin,1
pylabel,1
wechatpy,1
pyobjc-framework-contactsui,1
pyobjc-framework-scenekit,1
pyobjc-framework-mediaaccessibility,1
pyobjc-framework-mediatoolbox,1
validator-py,1
vcrpy,1
pyobjc-framework-mediaplayer,1
pyobjc-framework-medialibrary,1
vendi-score,1
vertexai,1
vicinity,1
vidgear,1
pyobjc-framework-mapkit,1
pyobjc-framework-coreaudio,1
pyobjc-framework-localauthentication,1
pyobjc-framework-libdispatch,1
pyobjc-framework-latentsemanticmapping,1
pyobjc-framework-ituneslibrary,1
virtualenv-clone,1
visdom,1
vispy,1
viv-utils,1
vivisect,1
validate-email,1
pyobjc-framework-modelio,1
vadersentiment,1
uwsgi,1
pyobjc-framework-safariservices,1
pyobjc-framework-qtkit,1
urllib5,1
pyobjc-framework-pubsub,1
pyobjc-framework-preferencepanes,1
pyobjc-framework-photosui,1
pyobjc-framework-photos,1
urlobject,1
pyobjc-framework-osakit,1
pyobjc-framework-opendirectory,1
urlparse3,1
usort,1
pyobjc-framework-notificationcenter,1
pyobjc-framework-networkextension,1
uvx,1
pyobjc-framework-network,1
pyobjc-framework-netfs,1
pyobjc-framework-naturallanguage,1
pyobjc-framework-multipeerconnectivity,1
pyobjc-framework-iosurface,1
pyobjc-framework-intents,1
pyobjc-framework-instantmessage,1
pyobjc-framework-diskarbitration,1
wcmatch,1
pyobjc-framework-discrecordingui,1
pyobjc-framework-discrecording,1
pyobjc-framework-dictionaryservices,1
pyobjc-framework-cryptotokenkit,1
weave,1
pyobjc-framework-corewlan,1
pyobjc-framework-coretext,1
pyobjc-framework-corespotlight,1
pyobjc-framework-coreservices,1
pyobjc-framework-coreml,1
pyobjc-framework-coremediaio,1
pyobjc-framework-coremedia,1
pyobjc-framework-corelocation,1
pyobjc-framework-coredata,1
webpack,1
pyobjc-framework-corebluetooth,1
pyobjc-framework-coreaudiokit,1
webtest,1
wavmark,1
wavio,1
pyobjc-framework-installerplugins,1
pyobjc-framework-dvdplayback,1
pyobjc-framework-inputmethodkit,1
voila,1
volcengine,1
volcengine-python-sdk,1
pyobjc-framework-imagecapturecore,1
vtf2img,1
pyobjc-framework-gameplaykit,1
wadler-lindig,1
pyobjc-framework-gamekit,1
pyobjc-framework-gamecontroller,1
wasabi,1
pyobjc-framework-gamecenter,1
pyobjc-framework-fsevents,1
watchtower,1
pyobjc-framework-findersync,1
pyobjc-framework-externalaccessory,1
wavedrom,1
pyobjc-framework-exceptionhandling,1
pyobjc-framework-eventkit,1
pyscreenshot,1
scrape-schema-recipe,1
tree-sitter-objc,1
sqlite-utils,1
sqlakeyset,1
reme-ai,1
sqlalchemy-databricks,1
sqlalchemy-spanner,1
sqlalchemy2-stubs,1
redshift-connector,1
records,1
sqlbag,1
sqlite-migrate,1
recipe-scrapers,1
stable-ts,1
sqlmap,1
squarify,1
rebrowser-playwright,1
srt-equalizer,1
readme-renderer,1
ssdb,1
sseclient-py,1
sshpubkeys,1
sshtunnel,1
sphinxext-opengraph,1
sphinxcontrib-websupport,1
reportportal-client,1
sphinxcontrib-serializinghtml,1
spconv,1
resend,1
spconv-cu121,1
resemblyzer,1
sphinx-autodoc-typehints,1
rerun-sdk,1
requirements,1
requests-unixsocket,1
requests-html,1
sphinx-gallery,1
sphinx-tabs,1
sphinxcontrib-applehelp,1
requests-file,1
sphinxcontrib-devhelp,1
sphinxcontrib-htmlhelp,1
sphinxcontrib-jquery,1
sphinxcontrib-jsmath,1
sphinxcontrib-qthelp,1
request,1
st-theme,1
readerwriterlock,1
spacy-pkuseg,1
quack-kernels,1
quick-algo,1
queuelib,1
streamlit-chatbox,1
streamlit-drawable-canvas,1
querystring-parser,1
quart,1
quandl,1
